SWNO,min_date,max_date,years,months
1285,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
1289,2024-01-01 00:00:00+00:00,2025-04-02 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
22001,2024-01-01 00:00:00+00:00,2025-04-02 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33001,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33002,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33003,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33004,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33006,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33008,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33009,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33010,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33011,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33012,2024-01-01 00:00:00+00:00,2025-04-02 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33015,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33018,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33019,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
