FEEDER_ID,FROM_SWITCH,TO_SWITCH,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK
29202,10189,DT,DEONAR HSG.2,DEONAR HSG.2,1S-MH-MU-ZET-CL08-8221,1S-MH-MU-ZET-CL08-8221,3
29202,25663,DT,REHAB HSG 1,REHAB HSG 1,1S-MH-MU-ZET-CL08-9011,1S-MH-MU-ZET-CL08-9011,3
29202,12153,DT,MAHATMA PHULE NGR,MAHATMA PHULE NGR,1S-MH-MU-ZET-CL12-8524,1S-MH-MU-ZET-CL12-8524,4
29202,41047,39969,DEONAR MATERNITY,SPANDAN HOSPITAL,1S-MH-MU-ZET-CL08-9765,1S-MH-MU-ZET-CL08-9732,4
29202,41049,DT,DEONAR MATERNITY,DEONAR MATERNITY,1S-MH-MU-ZET-CL08-9765,1S-MH-MU-ZET-CL08-9765,4
29202,39970,DT,SPANDAN HOSPITAL,SPANDAN HOSPITAL,1S-MH-MU-ZET-CL08-9732,1S-MH-MU-ZET-CL08-9732,5
29203,29203,17065,ACROPOLIS REC-STN,MODISON METAL,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-8553,0
29203,17067,10672,MODISON METAL,ACCUMAX,1S-MH-MU-ZET-CL11-8553,1S-MH-MU-ZET-CL11-8003,1
29203,17066,18431,MODISON METAL,TECNIS INDUSTRIES,1S-MH-MU-ZET-CL11-8553,1S-MH-MU-ZET-CL11-8852,1
29203,10671,DT,ACCUMAX,ACCUMAX,1S-MH-MU-ZET-CL11-8003,1S-MH-MU-ZET-CL11-8003,2
29203,18433,6021,TECNIS INDUSTRIES,EASTERN STEEL,1S-MH-MU-ZET-CL11-8852,1S-MH-MU-ZET-CL11-8240,2
29203,6020,19377,EASTERN STEEL,BRITTO WARE HOUSE,1S-MH-MU-ZET-CL11-8240,1S-MH-MU-ZET-CL11-9871,3
29203,6022,DT,EASTERN STEEL,EASTERN STEEL,1S-MH-MU-ZET-CL11-8240,1S-MH-MU-ZET-CL11-8240,3
29203,19378,25697,BRITTO WARE HOUSE,SAI SHRADHA,1S-MH-MU-ZET-CL11-9871,1S-MH-MU-ZET-CL11-9014,4
29203,19379,DT,BRITTO WARE HOUSE,BRITTO WARE HOUSE,1S-MH-MU-ZET-CL11-9871,1S-MH-MU-ZET-CL11-9871,4
29203,25698,2883,SAI SHRADHA,METAL BOX,1S-MH-MU-ZET-CL11-9014,1S-MH-MU-ZET-CL11-8548,5
29203,25699,DT,SAI SHRADHA,SAI SHRADHA,1S-MH-MU-ZET-CL11-9014,1S-MH-MU-ZET-CL11-9014,5
29203,2881,38596,METAL BOX,GODREJ SERENITY,1S-MH-MU-ZET-CL11-8548,1S-MH-MU-ZET-CL11-9681,6
29203,38597,16414,GODREJ SERENITY,DEONAR BAUG,1S-MH-MU-ZET-CL11-9681,1S-MH-MU-ZET-CL11-8218,7
29203,38598,30489,GODREJ SERENITY,RAHEJA AVELON,1S-MH-MU-ZET-CL11-9681,1S-MH-MU-ZET-CL11-9183,7
29203,39998,DT,GODREJ SERENITY,GODREJ SERENITY,1S-MH-MU-ZET-CL11-9681,1S-MH-MU-ZET-CL11-9681,7
29203,16415,DT,DEONAR BAUG,DEONAR BAUG,1S-MH-MU-ZET-CL11-8218,1S-MH-MU-ZET-CL11-8218,8
29205,29205,CAP BANK,ACROPOLIS REC-STN,ACROPOLIS REC-STN,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-RSTN-ACRO,0
29207,29207,6630,ACROPOLIS REC-STN,VAIBHAV IND 2,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-8898,0
29207,28234,CAP BANK,VAIBHAV IND 2,VAIBHAV IND 2,1S-MH-MU-ZET-CL11-8898,1S-MH-MU-ZET-CL11-8898,1
29207,5743,DT,VAIBHAV IND 2,VAIBHAV IND 2,1S-MH-MU-ZET-CL11-8898,1S-MH-MU-ZET-CL11-8898,1
29207,11436,842,VAIBHAV IND 2,GOVANDI EST,1S-MH-MU-ZET-CL11-8898,1S-MH-MU-ZET-CL11-8324,1
29207,14441,2872,GOVANDI EST,CAPSULATION SERVICES,1S-MH-MU-ZET-CL11-8324,1S-MH-MU-ZET-CL11-8116,2
29207,2207,29494,GOVANDI EST,SAFAL TWIN,1S-MH-MU-ZET-CL11-8324,1S-MH-MU-ZET-CL11-9139,2
29207,30826,DT,GOVANDI EST,GOVANDI EST,1S-MH-MU-ZET-CL11-8324,1S-MH-MU-ZET-CL11-8324,2
29207,2874,25279,CAPSULATION SERVICES,CHEMBUR REC-STN,1S-MH-MU-ZET-CL11-8116,1S-MH-MU-ZET-RSTN-CHEM,3
29207,2873,HTConsumer,CAPSULATION SERVICES,,1S-MH-MU-ZET-CL11-8116,nan,3
29207,29493,4973,SAFAL TWIN,SARAS BAUG,1S-MH-MU-ZET-CL11-9139,1S-MH-MU-ZET-CL11-8749,3
29207,29496,DT,SAFAL TWIN,SAFAL TWIN,1S-MH-MU-ZET-CL11-9139,1S-MH-MU-ZET-CL11-9139,3
29209,29209,26899,ACROPOLIS REC-STN,PUNJABWADI,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-9060,0
29209,26901,17394,PUNJABWADI,TROMBAY TOWNSHIP 2,1S-MH-MU-ZET-CL11-9060,1S-MH-MU-ZET-CL11-8878,1
29209,26900,DT,PUNJABWADI,PUNJABWADI,1S-MH-MU-ZET-CL11-9060,1S-MH-MU-ZET-CL11-9060,1
29209,29252,43105,TROMBAY TOWNSHIP 2,GARRISON ENGINEER MANKHURD,1S-MH-MU-ZET-CL11-8878,1S-MH-MU-ZET-CL11-9866,2
29209,29253,29251,TROMBAY TOWNSHIP 2,TROMBAY TOWNSHIP 2,1S-MH-MU-ZET-CL11-8878,1S-MH-MU-ZET-CL11-8878,2
29209,43104,14389,GARRISON ENGINEER MANKHURD,MANDALA,1S-MH-MU-ZET-CL11-9866,1S-MH-MU-ZET-CL11-8534,3
29209,14392,11690,MANDALA,TROMBAY HOSPITAL,1S-MH-MU-ZET-CL11-8534,1S-MH-MU-ZET-CL11-8871,4
29209,14393,DT,MANDALA,MANDALA,1S-MH-MU-ZET-CL11-8534,1S-MH-MU-ZET-CL11-8534,4
29209,11690,DT,TROMBAY HOSPITAL,TROMBAY HOSPITAL,1S-MH-MU-ZET-CL11-8871,1S-MH-MU-ZET-CL11-8871,5
29211,29211,4706,ACROPOLIS REC-STN,GOVANDI NORTH 2,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-8322,0
29211,4708,2982,GOVANDI NORTH 2,VICTORY FLASK,1S-MH-MU-ZET-CL11-8322,1S-MH-MU-ZET-CL11-8909,1
29211,39707,DT,GOVANDI NORTH 2,GOVANDI NORTH 2,1S-MH-MU-ZET-CL11-8322,1S-MH-MU-ZET-CL11-8322,1
