FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH
41896,19810-32809,1S-MH-MU-ZST-CL02-0619,1S-MH-MU-ZST-CL02-0861,1,19810,32809
41896,32807-39908,1S-MH-MU-ZST-CL02-0861,1S-MH-MU-ZST-CL02-1322,1,32807,39908
41896,39909-25743,1S-MH-MU-ZST-CL02-1322,1S-MH-MU-ZST-CL03-0101,1,39909,25743
41896,25745-6810,1S-MH-MU-ZST-CL03-0101,1S-MH-MU-ZST-CL02-0334,1,25745,6810
41896,5968-32748,1S-MH-MU-ZST-CL02-0334,1S-MH-MU-ZST-CL02-0858,1,5968,32748
41896,32750-34071,1S-MH-MU-ZST-CL02-0858,1S-MH-MU-ZST-CL02-0879,1,32750,34071
41896,34069-34961,1S-MH-MU-ZST-CL02-0879,1S-MH-MU-ZST-CL02-0963,1,34069,34961
41896,34959-32538,1S-MH-MU-ZST-CL02-0963,1S-MH-MU-ZST-CL03-0845,1,34959,32538
41896,19810-9018,1S-MH-MU-ZST-CL02-0619,1S-MH-MU-ZST-CL02-0526,1.1,19810,9018
41896,25986-36276,1S-MH-MU-ZST-CL02-0372,1S-MH-MU-ZST-CL02-0832,1.2,25986,36276
41897,41897-34756,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL01-0955,1,41897,34756
41897,34754-15258,1S-MH-MU-ZST-CL01-0955,1S-MH-MU-ZST-CL02-0384,1,34754,15258
41897,15256-6541,1S-MH-MU-ZST-CL02-0384,1S-MH-MU-ZST-CL02-0011,1,15256,6541
41897,6543-32172,1S-MH-MU-ZST-CL02-0011,1S-MH-MU-ZST-CL02-0830,1,6543,32172
41897,32174-9566,1S-MH-MU-ZST-CL02-0830,1S-MH-MU-ZST-CL01-0039,1,32174,9566
41897,9568-32569,1S-MH-MU-ZST-CL01-0039,1S-MH-MU-ZST-CL01-0846,1,9568,32569
41897,32567-31578,1S-MH-MU-ZST-CL01-0846,1S-MH-MU-ZST-CL01-0816,1,32567,31578
41897,31576-26233,1S-MH-MU-ZST-CL01-0816,1S-MH-MU-ZST-CL01-0265,1,31576,26233
41897,26235-37189,1S-MH-MU-ZST-CL01-0265,1S-MH-MU-ZST-CL01-1179,1,26235,37189
41897,37191-43892,1S-MH-MU-ZST-CL01-1179,1S-MH-MU-ZST-RSTN-BOMB,1,37191,43892
41897,43892-19410,1S-MH-MU-ZST-RSTN-BOMB,1S-MH-MU-ZST-CL01-0576,1,43892,19410
41897,19410-13534,1S-MH-MU-ZST-CL01-0576,1S-MH-MU-ZST-CL01-0109,1,19410,13534
41897,13532-28959,1S-MH-MU-ZST-CL01-0109,1S-MH-MU-ZST-CL01-0725,1,13532,28959
41898,41898-19129,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL01-0590,1,41898,19129
41898,19131-4957,1S-MH-MU-ZST-CL01-0590,1S-MH-MU-ZST-CL01-0413,1,19131,4957
41898,4955-36362,1S-MH-MU-ZST-CL01-0413,1S-MH-MU-ZST-CL01-0977,1,4955,36362
41898,36364-34851,1S-MH-MU-ZST-CL01-0977,1S-MH-MU-ZST-CL02-0886,1,36364,34851
41898,34849-7128,1S-MH-MU-ZST-CL02-0886,1S-MH-MU-ZST-CL01-0350,1,34849,7128
41898,7126-30804,1S-MH-MU-ZST-CL01-0350,1S-MH-MU-ZST-CL01-0794,1,7126,30804
41898,30806-19540,1S-MH-MU-ZST-CL01-0794,1S-MH-MU-ZST-CL02-0507,1,30806,19540
41898,19539-11000,1S-MH-MU-ZST-CL02-0507,1S-MH-MU-ZST-CL02-0290,1,19539,11000
41898,19538-13476,1S-MH-MU-ZST-CL02-0507,1S-MH-MU-ZST-CL02-0504,1.1,19538,13476
41899,41899-37855,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL01-1166,1,41899,37855
41899,37856-30326,1S-MH-MU-ZST-CL01-1166,1S-MH-MU-ZST-CL01-0785,1,37856,30326
