FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
14418,14418-10316,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4479,1S-MH-MU-ZCT-CL10-4479,0,2025-04-04,247.2193170731707,13.658577919719672
14418,10314-16058,1S-MH-MU-ZCT-CL10-4479,1S-MH-MU-ZCT-CL10-4292,1S-MH-MU-ZCT-CL10-4292,1,2025-04-04,389.34836185819074,21.511041294484812
14418,28775-11403,1S-MH-MU-ZCT-CL10-4292,1S-MH-MU-ZCT-CL10-4044,1S-MH-MU-ZCT-CL10-4044,2,2025-04-04,345.0338313253012,19.062715348822067
14418,11402-29698,1S-MH-MU-ZCT-CL10-4044,1S-MH-MU-ZCT-CL10-4045,1S-MH-MU-ZCT-CL10-4045,3,2025-04-04,286.76882352941175,15.843641862191214
14418,10828-5629,1S-MH-MU-ZCT-CL10-4045,1S-MH-MU-ZCT-CL10-4049,1S-MH-MU-ZCT-CL10-4049,4,2025-04-04,225.94562814070352,12.483231505191798
14418,29151-16308,1S-MH-MU-ZCT-CL10-4049,1S-MH-MU-ZCT-CL10-4048,1S-MH-MU-ZCT-CL10-4048,5,,,
14418,16310-41041,1S-MH-MU-ZCT-CL10-4048,1S-MH-MU-ZCT-CL10-5724,1S-MH-MU-ZCT-CL10-5724,6,,,
14419,14419-25343,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4918,1S-MH-MU-ZCT-CL10-4918,0,2025-04-04,292.379650872818,16.153633505932085
14419,14419-6850,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4589,1S-MH-MU-ZCT-CL10-4589,0,2025-04-04,313.22843137254904,17.30550422686942
14419,25344-28322,1S-MH-MU-ZCT-CL10-4918,1S-MH-MU-ZCT-CL10-5013,1S-MH-MU-ZCT-CL10-5013,1,2025-04-04,422.0405797101449,23.317248067425638
14419,6851-18291,1S-MH-MU-ZCT-CL10-4589,1S-MH-MU-ZCT-CL10-4253,1S-MH-MU-ZCT-CL10-4253,1,2025-04-04,272.868137254902,15.075645215061192
14419,28323-19976,1S-MH-MU-ZCT-CL10-5013,1S-MH-MU-ZCT-CL10-4913,1S-MH-MU-ZCT-CL10-4913,2,2025-04-04,420.041935483871,23.206825313162142
14419,18292-16647,1S-MH-MU-ZCT-CL10-4253,1S-MH-MU-ZCT-CL10-4160,1S-MH-MU-ZCT-CL10-4160,2,2025-04-04,331.88038277511964,18.336002711384822
14419,19974-19333,1S-MH-MU-ZCT-CL10-4913,1S-MH-MU-ZCT-CL10-4873,1S-MH-MU-ZCT-CL10-4873,3,2025-04-04,611.0163461538461,33.75793798384542
14419,18931-43010,1S-MH-MU-ZCT-CL10-4873,1S-MH-MU-ZCT-CL10-5768,1S-MH-MU-ZCT-CL10-5768,4,2025-04-04,106.36774193548388,5.87669324780328
14419,43011-42483,1S-MH-MU-ZCT-CL10-5768,1S-MH-MU-ZCT-CL10-5742,1S-MH-MU-ZCT-CL10-5742,5,2025-04-04,161.28,8.910531235875872
14420,14420-44021,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-5815,1S-MH-MU-ZCT-CL10-5815,0,,,
