SWNO,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
16030,258.550,248.258,270.788,329.126,362.508,364.379,350.853,350.853,325.495,339.764,289.093,230.623
16031,79.711,54.760,48.877,94.959,101.080,98.126,91.929,91.929,85.249,85.411,77.540,65.683
16032,108.381,119.566,127.183,148.799,163.824,151.185,138.203,138.203,131.760,138.868,115.887,105.177
16033,28.628,35.411,38.940,75.325,101.456,111.933,113.116,113.116,102.226,112.858,98.412,44.053
16080,52.717,48.587,38.875,47.246,55.477,59.152,37.000,37.000,66.903,60.698,52.605,57.879
16772,4.268,0.000,0.000,34.938,0.000,12.077,0.000,0.000,0.000,23.252,2.807,19.801
16773,42.144,36.192,48.145,53.992,53.222,49.445,47.991,47.991,43.629,46.417,43.053,36.259
16774,164.583,157.500,187.405,227.742,239.455,238.568,233.823,233.823,196.678,237.193,203.048,183.712
16775,7.484,9.030,9.691,9.209,9.528,8.147,7.471,7.471,6.375,6.981,6.383,6.355
16776,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16777,90.310,72.688,104.691,117.227,127.636,128.943,129.839,129.839,113.590,122.365,110.323,95.172
16778,30.164,30.163,38.585,43.753,50.483,50.381,49.573,49.573,38.028,44.229,45.247,32.054
16781,55.158,59.831,77.514,80.227,84.494,77.510,77.666,77.666,69.260,83.669,70.212,57.913
16782,79.524,61.768,73.267,85.083,101.080,89.750,97.805,97.805,96.613,90.691,79.507,55.483
16783,198.285,180.369,229.235,246.249,264.745,260.640,295.072,295.072,223.695,244.580,217.858,184.046
16784,56.997,50.045,86.706,81.312,78.010,81.290,70.474,70.474,58.170,69.841,68.777,67.810
16786,2.533,2.667,2.863,5.095,5.780,5.495,5.078,5.078,,,,
16787,0.000,0.000,0.000,0.000,0.647,18.778,44.961,44.961,0.000,1.221,0.000,0.000
16788,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.581,0.000,3.986
17802,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17803,84.311,90.454,106.162,48.675,50.307,63.358,61.440,61.440,103.162,108.424,123.926,138.753
17804,40.965,36.973,36.404,37.254,94.594,24.537,0.000,0.000,0.000,0.000,0.000,0.000
17805,52.442,41.982,44.529,66.034,78.661,78.263,72.756,72.756,56.000,61.440,53.071,55.208
17806,45.730,48.557,57.668,50.229,50.378,45.485,36.682,36.682,40.779,43.038,42.497,46.721
17807,0.511,0.000,0.000,0.000,0.000,20.668,0.000,0.000,0.000,0.000,0.000,0.000
17808,6.489,7.319,7.452,4.298,4.389,0.000,0.000,0.000,0.000,4.649,8.535,10.826
17811,0.000,68.228,0.530,0.000,32.271,0.000,0.000,0.000,,,,
17812,36.954,40.538,53.778,54.261,57.940,56.687,49.834,49.834,50.827,50.540,47.060,34.806
