FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH,LATEST_DT_DATE,DT_LOAD,LOCATION
19582,7238-HTCONSUMER,1S-MH-MU-ZET-CL11-8892,NAN,3,7238,HTCONSUMER,2018-04-09,309.7547780678851,NAN
19585,19585-CAP BANK,1S-MH-MU-ZET-RSTN-CHEM,1S-MH-MU-ZET-RSTN-CHEM,1,19585,CAP BANK,2025-02-07,462.57939698492464,1S-MH-MU-ZET-RSTN-CHEM
19776,10687-HTCONSUMER,1S-MH-MU-ZET-CL11-8081,NAN,1.2.1,10687,HTCONSUMER,2018-04-09,309.7547780678851,NAN
19778,19778-STN XMER,1S-MH-MU-ZET-RSTN-CHEM,1S-MH-MU-ZET-RSTN-CHEM,1,19778,STN XMER,2025-02-07,462.57939698492464,1S-MH-MU-ZET-RSTN-CHEM
19779,19779-CAP BANK,1S-MH-MU-ZET-RSTN-CHEM,1S-MH-MU-ZET-RSTN-CHEM,1,19779,CAP BANK,2025-02-07,462.57939698492464,1S-MH-MU-ZET-RSTN-CHEM
25266,10862-NAN,1S-MH-MU-ZET-CL10-8075,NAN,7.1,10862,NAN,2018-04-09,309.7547780678851,NAN
25269,30642-HTCONSUMER,1S-MH-MU-ZET-CL11-9191,NAN,1.1,30642,HTCONSUMER,2018-04-09,309.7547780678851,NAN
25271,7515-HTCONSUMER,1S-MH-MU-ZET-CL11-8117,NAN,6,7515,HTCONSUMER,2018-04-09,309.7547780678851,NAN
25273,30743-HTCONSUMER,1S-MH-MU-ZET-CL11-9196,NAN,3.1,30743,HTCONSUMER,2018-04-09,309.7547780678851,NAN
25275,35246-HTCONSUMER,1S-MH-MU-ZET-CL10-9429,NAN,2.1,35246,HTCONSUMER,2018-04-09,309.7547780678851,NAN
25282,25282-CAP BANK,1S-MH-MU-ZET-RSTN-CHEM,1S-MH-MU-ZET-RSTN-CHEM,2,25282,CAP BANK,2025-02-07,462.57939698492464,1S-MH-MU-ZET-RSTN-CHEM
29318,31163-HTCONSUMER,1S-MH-MU-ZET-CL01-9223,NAN,3.1,31163,HTCONSUMER,2018-04-09,309.7547780678851,NAN
29319,7451-HTCONSUMER,1S-MH-MU-ZET-CL01-8195,NAN,5.1,7451,HTCONSUMER,2018-04-09,309.7547780678851,NAN
29325,29325-CAP BANK,1S-MH-MU-ZET-RSTN-CHUN,1S-MH-MU-ZET-RSTN-CHUN,1,29325,CAP BANK,2025-02-07,277.45702564102567,1S-MH-MU-ZET-RSTN-CHUN
29327,18781-HTCONSUMER,1S-MH-MU-ZET-CL01-8190,NAN,2.2,18781,HTCONSUMER,2018-04-09,309.7547780678851,NAN
29328,29328-STN XMER,1S-MH-MU-ZET-RSTN-CHUN,1S-MH-MU-ZET-RSTN-CHUN,1,29328,STN XMER,2025-02-07,277.45702564102567,1S-MH-MU-ZET-RSTN-CHUN
29333,35395-HTCONSUMER,1S-MH-MU-ZET-CL10-9474,NAN,4.1,35395,HTCONSUMER,2018-04-09,309.7547780678851,NAN
29334,29334-CAP BANK,1S-MH-MU-ZET-RSTN-CHUN,1S-MH-MU-ZET-RSTN-CHUN,1,29334,CAP BANK,2025-02-07,277.45702564102567,1S-MH-MU-ZET-RSTN-CHUN
18613,18613-CAP BANK,1S-MH-MU-ZCT-RSTN-CHIN,1S-MH-MU-ZCT-RSTN-CHIN,1,18613,CAP BANK,2018-01-05,474.9068965517241,1S-MH-MU-ZCT-RSTN-CHIN
