SWNO,VOLTAGE,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
33132,33KV,88.349,84.320,84.512,120.058,107.478,87.090,0.000,0.000,92.767,96.093,84.212,84.579,4.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33133,33KV,90.978,76.516,64.474,66.326,71.552,78.084,0.000,0.000,68.374,67.881,61.863,91.874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33134,33KV,87.763,75.827,71.995,70.275,61.944,81.372,0.000,0.000,73.003,79.663,61.750,68.567,7.000,2.000,1.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000
33135,22KV,,77.841,77.452,64.425,,,,,,,,,,0.000,0.000,0.000,,,,,,,,
33135,33KV,90.868,102.812,100.074,109.395,136.873,150.564,0.000,0.000,71.195,77.874,62.017,75.997,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000
33136,22KV,77.894,76.629,67.360,66.123,75.974,68.603,0.000,0.000,82.547,69.282,59.192,73.957,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33137,22KV,85.148,83.574,82.729,69.095,67.225,58.149,0.000,0.000,99.817,74.995,71.061,79.105,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33138,33KV,71.192,84.246,78.852,83.264,78.189,78.202,0.000,0.000,84.303,82.890,77.121,76.190,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
33139,33KV,36.943,39.133,31.380,38.658,40.906,36.624,0.000,0.000,45.216,33.859,27.392,33.457,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000
33140,33KV,53.731,59.217,51.121,55.468,56.783,54.092,0.000,0.000,69.842,55.902,50.389,52.654,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33150,33KV,68.532,70.729,69.825,92.451,77.545,71.122,0.000,0.000,65.737,73.275,62.637,64.725,8.000,10.000,15.000,3.000,3.000,1.000,0.000,0.000,3.000,4.000,5.000,3.000
33151,33KV,65.415,70.623,70.419,76.874,70.294,67.383,0.000,0.000,87.054,78.877,64.714,71.643,6.000,7.000,3.000,3.000,2.000,1.000,0.000,0.000,0.000,2.000,0.000,3.000
