SWNO,VOLTAGE,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
33118,33KV,136.965,139.974,165.499,184.804,178.045,162.806,151.683,151.683,143.031,160.811,135.703,119.743
33119,33KV,137.732,137.411,161.356,199.694,210.197,203.140,217.032,217.032,181.164,193.723,166.483,138.954
33120,22KV,147.011,167.312,173.764,198.960,189.006,189.802,164.000,164.000,168.376,168.283,139.225,128.513
33121,33KV,121.290,125.257,142.016,164.737,175.103,191.230,186.000,186.000,142.597,159.374,136.277,120.443
33122,33KV,79.206,83.587,93.083,103.313,107.151,107.499,108.391,108.391,97.037,104.514,85.360,78.394
33123,22KV,74.543,73.946,87.196,92.759,117.011,133.899,146.256,146.256,108.437,121.153,96.920,81.597
33124,22KV,117.764,136.648,148.722,171.392,177.223,163.190,174.000,174.000,143.426,143.827,139.197,104.380
33125,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33126,33KV,118.336,119.483,122.370,129.248,129.275,129.603,129.934,129.934,121.032,128.507,121.292,108.921
33127,33KV,154.332,157.079,154.301,151.884,155.225,156.469,153.058,153.058,154.282,155.390,163.700,153.283
33128,33KV,137.185,144.754,153.333,188.318,196.883,198.204,204.110,204.110,164.751,183.993,145.521,132.892
33129,33KV,104.083,110.271,111.902,111.386,138.099,129.828,130.092,130.092,116.895,125.922,111.091,96.228
33130,22KV,125.209,135.399,158.640,178.976,194.821,188.856,194.198,194.198,149.315,167.009,136.489,118.497
33131,33KV,90.697,98.516,108.405,118.487,139.286,137.608,152.654,152.654,112.623,121.886,105.816,101.136
33132,33KV,100.374,106.100,121.550,137.569,147.232,137.565,154.642,154.642,119.494,130.527,111.874,99.449
33133,33KV,120.901,121.198,129.191,153.442,160.751,175.667,174.738,174.738,134.952,156.604,130.741,139.388
33134,33KV,98.370,97.910,109.104,117.621,125.887,133.237,115.977,115.977,112.207,120.482,95.871,88.624
33135,22KV,,195.630,216.278,221.083,,,,,,,,
33135,33KV,166.168,164.495,190.599,227.263,252.134,282.534,269.170,269.170,206.925,240.502,197.864,177.588
33136,22KV,123.538,131.188,148.693,162.424,172.437,166.805,173.141,173.141,154.184,162.096,142.309,125.065
33137,22KV,114.438,123.867,148.566,158.394,164.341,158.679,174.490,174.490,141.180,167.440,139.289,124.744
33138,33KV,104.428,112.632,127.528,161.225,164.662,149.684,167.694,167.694,135.053,156.991,129.209,91.473
33139,33KV,55.372,57.320,65.625,73.483,75.541,71.944,77.033,77.033,65.647,72.470,63.972,55.854
33140,33KV,112.879,118.818,129.965,144.157,154.161,145.490,141.284,141.284,136.501,145.686,125.748,113.379
33148,22KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33149,22KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33150,33KV,76.772,78.532,88.125,89.449,97.933,100.019,88.424,88.424,74.616,88.962,79.238,82.559
33151,33KV,87.747,90.262,102.663,112.910,115.200,114.266,102.817,102.817,106.120,109.903,93.217,90.038
33152,33KV,90.580,99.244,111.743,131.430,141.702,121.388,114.541,114.541,102.010,116.826,103.752,92.212
33154,22KV,68.985,70.171,78.853,98.264,101.706,101.382,98.961,98.961,96.971,84.599,78.446,68.519
33155,33KV,57.294,59.624,70.053,80.802,84.979,69.859,75.046,75.046,65.956,72.326,61.244,53.826
33156,33KV,114.625,121.867,137.856,156.630,170.815,172.503,170.720,170.720,132.864,146.366,125.511,114.466
33157,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33158,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33159,33KV,88.453,90.827,91.743,106.654,115.689,108.475,75.062,75.062,100.599,101.621,89.287,86.282
33162,22KV,147.659,148.704,166.397,203.550,252.172,249.446,260.461,260.461,191.960,176.534,146.616,131.178
33163,22KV,104.158,109.894,136.907,156.119,177.744,156.405,150.706,150.706,135.031,159.542,136.836,115.511
33163,33KV,,127.671,142.128,180.391,,,,,,,,
33166,33KV,115.635,127.285,130.510,142.889,145.759,143.400,127.657,127.657,127.571,131.003,117.663,96.422
33167,33KV,110.423,117.815,138.196,137.627,142.473,140.151,140.335,140.335,92.434,150.322,129.582,120.235
33168,33KV,2.826,2.829,2.827,2.812,2.824,2.823,2.819,2.819,,,,
33169,33KV,93.944,120.216,137.803,155.928,166.330,167.315,196.797,196.797,138.357,139.990,141.411,119.713
33170,33KV,94.032,120.613,140.640,156.255,166.497,167.483,196.019,196.019,138.664,170.153,141.727,120.486
33171,33KV,2.596,2.628,11.860,11.103,2.626,2.626,2.645,2.645,,,,
33172,33KV,118.500,129.145,144.758,189.184,182.700,141.636,180.757,180.757,108.125,84.029,106.311,90.748
33173,33KV,118.126,128.964,143.426,185.708,182.180,142.165,179.808,179.808,108.149,101.642,120.363,97.629
33174,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33175,33KV,97.014,116.017,138.272,157.084,186.863,179.943,182.931,182.931,143.242,145.781,140.734,117.989
33176,33KV,120.926,120.678,137.566,170.888,152.038,145.033,166.977,166.977,130.581,161.418,127.518,101.470
33177,33KV,66.685,70.981,80.116,98.506,105.501,95.963,95.158,95.158,84.398,88.745,71.081,60.730
33178,33KV,74.444,88.825,99.280,118.481,117.678,119.638,126.245,126.245,76.692,89.798,82.176,75.102
33179,22KV,97.084,97.309,108.918,129.425,134.323,126.509,100.818,100.818,112.086,121.591,109.121,76.311
33179,33KV,,102.487,117.492,127.633,,,,,,,,
33180,22KV,118.996,130.829,136.732,155.874,181.683,159.019,184.096,184.096,136.579,150.670,117.663,106.040
33181,33KV,110.325,122.073,141.515,158.796,179.120,172.064,184.520,184.520,139.371,152.179,138.387,123.254
33184,33KV,76.033,76.308,100.456,101.330,,,,,91.883,96.379,74.642,75.149
33185,33KV,71.734,76.382,89.919,109.068,108.771,101.628,74.221,74.221,89.149,96.558,74.906,75.025
33186,33KV,3.224,3.208,3.206,3.196,,,,,,,3.269,3.210
33188,33KV,2.933,2.930,2.933,2.937,,,,,,,2.926,2.935
33189,33KV,71.458,76.649,86.737,86.278,93.620,89.976,85.266,85.266,89.120,98.803,88.188,77.197
33190,33KV,78.807,92.005,100.556,116.082,,,,,86.067,99.764,89.101,78.024
33192,22KV,79.612,86.949,86.819,109.080,114.959,109.141,113.836,113.836,94.490,103.735,87.335,66.706
33193,22KV,61.007,59.497,70.093,86.965,91.162,86.870,91.109,91.109,74.378,83.690,67.457,59.352
33194,22KV,59.875,58.920,69.531,87.086,91.665,86.755,91.531,91.531,71.700,81.119,65.268,57.354
33196,22KV,40.364,34.406,39.798,78.286,54.887,35.531,0.000,0.000,40.500,45.646,38.201,32.970
33197,22KV,40.802,34.539,39.765,78.314,55.035,38.329,0.214,0.214,40.644,45.818,38.287,32.875
33198,22KV,0.000,0.000,0.001,0.004,0.001,0.000,0.000,0.000,0.210,0.210,0.105,0.000
33199,33KV,104.819,107.524,116.092,135.533,,,,,,,101.572,107.584
33200,33KV,97.083,101.063,112.449,150.391,148.978,131.863,109.112,109.112,121.580,134.627,124.363,107.535
33201,33KV,2.855,2.853,4.281,4.475,,,,,,,2.857,2.857
33203,33KV,0.000,0.000,0.000,0.000,,,,,,,0.000,0.000
33204,33KV,98.092,96.763,97.254,123.683,128.105,103.498,61.845,61.845,99.990,107.423,93.085,89.991
33205,33KV,92.559,85.707,91.934,121.379,,,,,,,89.533,89.618
33206,33KV,120.388,139.923,157.112,150.400,166.187,152.056,144.865,144.865,145.307,154.722,128.917,123.625
33207,22KV,103.200,105.048,101.470,114.508,116.876,120.941,125.248,125.248,122.663,114.271,92.742,100.348
33208,33KV,72.089,74.991,73.573,96.778,103.309,102.429,82.000,82.000,87.538,89.534,70.686,66.642
33209,22KV,67.249,71.084,75.477,70.469,62.823,69.191,63.161,63.161,71.708,74.866,80.665,53.807
33210,22KV,57.523,49.441,59.414,58.594,62.023,63.575,72.199,72.199,53.282,53.118,36.312,61.401
33211,33KV,53.311,49.119,63.082,72.019,77.719,80.384,86.781,86.781,64.167,69.971,56.688,48.059
33212,33KV,67.698,73.830,76.397,99.504,108.676,105.930,114.686,114.686,69.262,82.729,74.838,62.682
33213,33KV,105.179,107.958,139.805,149.258,160.659,146.415,127.824,127.824,156.765,149.483,121.261,102.901
33214,22KV,106.968,110.092,127.986,151.833,164.195,156.107,137.900,137.900,127.304,136.202,115.787,103.485
33215,33KV,104.670,114.958,145.110,137.115,144.369,134.221,136.588,136.588,124.756,136.668,115.042,106.491
33216,22KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33217,22KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33218,33KV,38.918,44.716,49.639,47.668,56.147,55.060,38.246,38.246,48.542,51.562,43.032,32.187
33219,33KV,51.931,55.983,52.155,57.939,69.349,63.036,40.929,40.929,56.043,55.548,49.733,49.977
33220,22KV,129.532,136.583,144.550,147.650,158.157,148.594,153.000,153.000,153.108,156.728,147.456,124.190
33221,22KV,107.282,116.020,121.738,140.306,154.960,126.207,110.000,110.000,124.254,131.036,107.620,104.731
33222,33KV,85.345,95.893,112.166,114.118,115.465,113.336,110.624,110.624,102.360,105.803,93.361,86.877
33223,33KV,85.800,92.163,99.362,113.799,115.558,113.885,108.690,108.690,99.533,107.946,92.919,85.723
33224,33KV,0.000,5.839,12.988,1.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33226,33KV,113.291,121.493,138.343,156.481,168.418,158.769,147.636,147.636,130.218,147.629,123.264,112.936
33227,33KV,113.112,121.963,138.639,154.531,164.816,159.295,148.189,148.189,133.105,145.860,123.928,114.379
33228,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33229,33KV,97.192,77.899,98.762,111.500,126.618,122.011,120.101,120.101,153.244,188.513,158.441,143.605
33230,33KV,35.813,52.586,60.963,72.919,76.192,74.948,70.201,70.201,1.640,1.514,1.454,1.585
33231,33KV,97.927,104.410,122.788,136.147,163.884,151.674,142.000,142.000,128.998,149.588,120.339,100.831
33232,33KV,121.549,126.284,138.783,152.576,170.295,171.083,180.000,180.000,157.450,160.173,128.742,117.000
33233,33KV,112.659,122.321,134.960,139.722,139.052,150.437,140.000,140.000,138.195,148.382,116.581,116.534
33234,33KV,92.601,91.773,109.762,126.023,127.097,128.716,140.000,140.000,107.634,118.472,103.915,86.706
33235,33KV,8.719,9.467,6.852,0.346,22.993,0.000,0.000,0.000,0.000,8.619,20.618,15.503
33236,33KV,119.345,126.771,143.135,179.389,173.778,174.363,182.000,182.000,151.765,153.398,105.958,88.150
33237,22KV,98.918,99.229,118.446,124.486,131.848,139.740,151.000,151.000,114.028,128.625,106.955,99.522
33238,33KV,60.637,60.764,80.527,84.102,92.540,90.159,100.000,100.000,81.543,81.484,69.851,55.606
33239,33KV,102.862,70.075,121.106,140.473,120.495,119.515,136.000,136.000,101.045,115.942,100.926,87.102
33240,33KV,107.070,145.682,139.091,151.993,172.686,167.420,184.000,184.000,158.774,175.281,145.168,123.184
33241,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33242,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33243,22KV,57.169,57.289,54.536,71.695,67.440,65.118,45.000,45.000,54.703,62.335,53.061,46.478
33244,22KV,91.419,94.374,92.732,107.772,117.925,125.456,120.000,120.000,115.234,116.453,101.762,93.075
33245,33KV,118.000,125.238,120.712,150.785,158.217,135.483,146.000,146.000,123.005,130.336,111.647,105.352
33246,33KV,112.644,103.385,139.842,161.016,165.856,160.717,172.000,172.000,137.220,146.613,134.605,122.708
33247,33KV,41.331,43.395,46.739,50.935,57.854,54.287,56.000,56.000,48.098,54.921,46.961,42.808
33248,33KV,46.019,47.134,53.068,60.448,60.496,59.419,62.000,62.000,55.848,56.325,49.807,47.925
33249,33KV,94.493,96.793,109.470,102.889,145.812,141.480,143.800,143.800,138.004,153.544,133.153,115.146
33250,33KV,94.168,96.592,109.367,102.572,145.359,141.471,143.200,143.200,,,130.965,114.904
33251,33KV,87.938,92.353,105.515,124.451,119.762,120.419,126.900,126.900,101.306,115.364,98.737,85.403
33252,33KV,88.001,92.339,105.692,124.489,119.653,120.684,126.900,126.900,,,96.699,85.418
33253,33KV,41.604,42.225,41.029,42.388,44.808,44.370,44.000,44.000,,,,
33254,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33255,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33256,33KV,44.735,45.132,44.666,42.574,44.455,44.102,42.000,42.000,,,48.816,44.473
33257,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33258,33KV,34.864,39.586,40.070,41.382,51.768,48.371,34.000,34.000,,,,
33259,33KV,40.326,46.017,29.791,42.634,56.064,53.904,40.000,40.000,,,52.733,36.133
33260,33KV,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,,,,
33261,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33262,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
