SWITCH_ID,YEAR,MONTH,YM,PRED_FAULTS
33039,2024,1,2024-01,0.06700721383094788
33039,2024,2,2024-02,0.06049391254782677
33039,2024,3,2024-03,0.11027803272008896
33039,2024,4,2024-04,0.09893975406885147
33039,2024,5,2024-05,0.11933815479278564
33039,2024,6,2024-06,0.07879126071929932
33039,2024,7,2024-07,0.05301422253251076
33039,2024,8,2024-08,0.039998091757297516
33039,2024,9,2024-09,0.03873863443732262
33039,2024,10,2024-10,0.08427432924509048
33039,2024,11,2024-11,0.07670100033283234
33039,2024,12,2024-12,0.06604424864053726
33041,2024,1,2024-01,0.05139589309692383
33041,2024,2,2024-02,0.04845185950398445
33041,2024,3,2024-03,0.0928337424993515
33041,2024,4,2024-04,0.08219864964485168
33041,2024,5,2024-05,0.09624093770980835
33041,2024,6,2024-06,0.06408223509788513
33041,2024,7,2024-07,0.034125860780477524
33041,2024,8,2024-08,0.025717180222272873
33041,2024,9,2024-09,0.024722665548324585
33041,2024,10,2024-10,0.07434596121311188
33041,2024,11,2024-11,0.049653198570013046
33041,2024,12,2024-12,0.05037742108106613
33043,2024,1,2024-01,0.07802680879831314
33043,2024,2,2024-02,0.058869246393442154
33043,2024,3,2024-03,0.10836949944496155
33043,2024,4,2024-04,0.15854983031749725
33043,2024,5,2024-05,0.14152026176452637
33043,2024,6,2024-06,0.09191128611564636
33043,2024,7,2024-07,0.06149996444582939
33043,2024,8,2024-08,0.05738343670964241
33043,2024,9,2024-09,0.0450330413877964
33043,2024,10,2024-10,0.08714872598648071
33043,2024,11,2024-11,0.09245241433382034
33043,2024,12,2024-12,0.0664013996720314
33045,2024,1,2024-01,0.11918526887893677
33045,2024,2,2024-02,0.06138718128204346
33045,2024,3,2024-03,0.1205185130238533
33045,2024,4,2024-04,0.20766423642635345
33045,2024,5,2024-05,0.19568569958209991
33045,2024,6,2024-06,0.12385063618421555
33045,2024,7,2024-07,0.09157924354076385
33045,2024,8,2024-08,0.14323946833610535
33045,2024,9,2024-09,0.0860525518655777
33045,2024,10,2024-10,0.10164869576692581
33045,2024,11,2024-11,0.17156298458576202
33045,2024,12,2024-12,0.10626532882452011
33049,2024,1,2024-01,0.08157669007778168
33049,2024,2,2024-02,0.0632377415895462
33049,2024,3,2024-03,0.10177062451839447
33049,2024,4,2024-04,0.1720426380634308
33049,2024,5,2024-05,0.1611787974834442
33049,2024,6,2024-06,0.10135214030742645
33049,2024,7,2024-07,0.0813029482960701
33049,2024,8,2024-08,0.09087050706148148
33049,2024,9,2024-09,0.05117391422390938
33049,2024,10,2024-10,0.06642831116914749
33049,2024,11,2024-11,0.12518644332885742
33049,2024,12,2024-12,0.07750949263572693
33050,2024,1,2024-01,0.054056454449892044
33050,2024,2,2024-02,0.050785936415195465
33050,2024,3,2024-03,0.08088106662034988
33050,2024,4,2024-04,0.12022487819194794
33050,2024,5,2024-05,0.13453522324562073
33050,2024,6,2024-06,0.07592079788446426
33050,2024,7,2024-07,0.0565480999648571
33050,2024,8,2024-08,0.039599210023880005
33050,2024,9,2024-09,0.028740907087922096
33050,2024,10,2024-10,0.05757440999150276
33050,2024,11,2024-11,0.06850983947515488
33050,2024,12,2024-12,0.057034555822610855
33052,2024,1,2024-01,0.03331978991627693
33052,2024,2,2024-02,0.01880134828388691
33052,2024,3,2024-03,0.04687945917248726
33052,2024,4,2024-04,0.0833885446190834
33052,2024,5,2024-05,0.05161047726869583
33052,2024,6,2024-06,0.03427692875266075
33052,2024,7,2024-07,0.02393207512795925
33052,2024,8,2024-08,0.0257832333445549
33052,2024,9,2024-09,0.014660995453596115
33052,2024,10,2024-10,0.029065120965242386
33052,2024,11,2024-11,0.05053400620818138
33052,2024,12,2024-12,0.030028797686100006
33053,2024,1,2024-01,0.07541545480489731
33053,2024,2,2024-02,0.04704099893569946
33053,2024,3,2024-03,0.07333898544311523
33053,2024,4,2024-04,0.1475132256746292
33053,2024,5,2024-05,0.14073601365089417
33053,2024,6,2024-06,0.08539623022079468
33053,2024,7,2024-07,0.07372423261404037
33053,2024,8,2024-08,0.10187790542840958
33053,2024,9,2024-09,0.055151551961898804
33053,2024,10,2024-10,0.06698256731033325
33053,2024,11,2024-11,0.11298299580812454
33053,2024,12,2024-12,0.07614657282829285
33054,2024,1,2024-01,0.06369558721780777
33054,2024,2,2024-02,0.05758398398756981
33054,2024,3,2024-03,0.10439246147871017
33054,2024,4,2024-04,0.13851580023765564
33054,2024,5,2024-05,0.1372028887271881
33054,2024,6,2024-06,0.08334897458553314
33054,2024,7,2024-07,0.06468255817890167
33054,2024,8,2024-08,0.04904041439294815
33054,2024,9,2024-09,0.035074926912784576
33054,2024,10,2024-10,0.07226060330867767
33054,2024,11,2024-11,0.08427560329437256
33054,2024,12,2024-12,0.06275591999292374
33055,2024,1,2024-01,0.08588065952062607
33055,2024,2,2024-02,0.07464013993740082
33055,2024,3,2024-03,0.1295044869184494
33055,2024,4,2024-04,0.14821763336658478
33055,2024,5,2024-05,0.20659877359867096
33055,2024,6,2024-06,0.10816795378923416
33055,2024,7,2024-07,0.07489411532878876
33055,2024,8,2024-08,0.06683801859617233
33055,2024,9,2024-09,0.051220569759607315
33055,2024,10,2024-10,0.09565973281860352
33055,2024,11,2024-11,0.098229318857193
33055,2024,12,2024-12,0.08913961052894592
33056,2024,1,2024-01,0.03919251263141632
33056,2024,2,2024-02,0.02642764151096344
33056,2024,3,2024-03,0.0653105154633522
33056,2024,4,2024-04,0.10167589038610458
33056,2024,5,2024-05,0.08047904074192047
