FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
34376,29336-43993,1S-MH-MU-ZET-CL08-9128,1S-MH-MU-ZET-CL08-9440,1S-MH-MU-ZET-CL08-9440,4,,,
34376,43992-16027,1S-MH-MU-ZET-CL08-9440,1S-MH-MU-ZET-CL08-8154,1S-MH-MU-ZET-CL08-8154,5,2025-04-04,425.014516129032,23.481554573836863
34376,16028-02721,1S-MH-MU-ZET-CL08-8154,1S-MH-MU-ZET-CL08-8388,1S-MH-MU-ZET-CL08-8388,6,2025-04-04,266.363819095477,14.716289249488083
34377,34377-26682,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-9051,1S-MH-MU-ZET-CL09-9051,0,2025-04-04,314.307,17.365093881165908
34377,26680-05737,1S-MH-MU-ZET-CL09-9051,1S-MH-MU-ZET-CL09-8361,1S-MH-MU-ZET-CL09-8361,1,2025-04-04,273.638378378378,15.118200135633417
34377,06917-43135,1S-MH-MU-ZET-CL09-8361,1S-MH-MU-ZET-CL09-9822,1S-MH-MU-ZET-CL09-9822,2,2025-04-04,91.275,5.042836920601254
34377,43136-31319,1S-MH-MU-ZET-CL09-9822,1S-MH-MU-ZET-CL09-9230,1S-MH-MU-ZET-CL09-9230,3,2025-04-04,311.605376344086,17.21583233619069
34377,43137-12000,1S-MH-MU-ZET-CL09-9822,1S-MH-MU-ZET-CL09-8485,1S-MH-MU-ZET-CL09-8485,3,,,
34377,12001-38488,1S-MH-MU-ZET-CL09-8485,1S-MH-MU-ZET-CL09-9684,1S-MH-MU-ZET-CL09-9684,4,,,
34377,38490-10851,1S-MH-MU-ZET-CL09-9684,1S-MH-MU-ZET-CL09-8846,1S-MH-MU-ZET-CL09-8846,5,2025-04-04,13.4480423280423,0.7429885988678187
34377,10850-10823,1S-MH-MU-ZET-CL09-8846,1S-MH-MU-ZET-CL09-8455,1S-MH-MU-ZET-CL09-8455,6,2025-04-04,219.924102564103,12.150549264753279
34377,10824-11160,1S-MH-MU-ZET-CL09-8455,1S-MH-MU-ZET-CL09-8457,1S-MH-MU-ZET-CL09-8457,7,2025-04-04,338.166666666667,18.68331253884772
34378,34378-39775,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-8295,1S-MH-MU-ZET-CL09-8295,0,,,
34378,39776-40523,1S-MH-MU-ZET-CL09-8295,1S-MH-MU-ZET-CL06-9745,1S-MH-MU-ZET-CL06-9745,1,,,
34378,39777-41280,1S-MH-MU-ZET-CL09-8295,1S-MH-MU-ZET-CL09-9620,1S-MH-MU-ZET-CL09-9620,1,2025-04-04,186.474666666667,10.302507081057028
34378,40525-40788,1S-MH-MU-ZET-CL06-9745,1S-MH-MU-ZET-CL06-9761,1S-MH-MU-ZET-CL06-9761,2,,,
34378,40524-32381,1S-MH-MU-ZET-CL06-9745,1S-MH-MU-ZET-CL06-9281,1S-MH-MU-ZET-CL06-9281,2,2025-04-04,214.66418079096,11.859944743065192
34378,41281-37935,1S-MH-MU-ZET-CL09-9620,1S-MH-MU-ZET-CL09-9464,1S-MH-MU-ZET-CL09-9464,2,2025-04-04,105.149411764706,5.809381931816634
34378,32383-02855,1S-MH-MU-ZET-CL06-9281,1S-MH-MU-ZET-CL06-8300,1S-MH-MU-ZET-CL06-8300,3,2025-04-04,306.502,16.933876766235283
34378,37934-07053,1S-MH-MU-ZET-CL09-9464,1S-MH-MU-ZET-CL09-8637,1S-MH-MU-ZET-CL09-8637,3,2025-04-04,251.66368159204,13.90412385764752
34378,02853-26579,1S-MH-MU-ZET-CL06-8300,1S-MH-MU-ZET-CL06-9049,1S-MH-MU-ZET-CL06-9049,4,2025-04-04,344.204,19.016868139344112
34378,07051-37615,1S-MH-MU-ZET-CL09-8637,1S-MH-MU-ZET-CL09-9619,1S-MH-MU-ZET-CL09-9619,4,2025-04-04,77.2266666666667,4.266682946279189
34378,26580-07495,1S-MH-MU-ZET-CL06-9049,1S-MH-MU-ZET-CL06-8267,1S-MH-MU-ZET-CL06-8267,5,2025-04-04,318.558354114713,17.599976220165903
34378,26578-18571,1S-MH-MU-ZET-CL06-9049,1S-MH-MU-ZET-CL06-8269,1S-MH-MU-ZET-CL06-8269,5,2025-04-04,289.527272727273,15.996042951849692
34378,37614-38483,1S-MH-MU-ZET-CL09-9619,1S-MH-MU-ZET-CL09-9664,1S-MH-MU-ZET-CL09-9664,5,2025-04-04,61.5022222222222,3.3979257948095865
