FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,FROM_SWITCH_N,FEEDER_ID_N,PATH,NO_OF_SEGMENT,DEDUP_KEY,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT,SWNO,COMMISSIONEDDATE_DT_OLDEST
37969,34705,38217,RAVI_11kV_38217,KALPATARU SRISHTI NO 1,KALPATARU SRISHTI NO 2,1S-MH-MU-ZNT-CL10-7404,1S-MH-MU-ZNT-CL10-7405,7,2010-12-15,AL,AL,XLPE,,44.1,,37969,38217,SWNO_37969 -> SWNO_34705,1,34705,44.1,2010-12-15 00:00:00+00:00,34705,2010-12-15 00:00:00+00:00
37973,29720,40736,SARVODAY_11kV_40736,POONAM NAGAR NO.2,HABITAT NO 3,1S-MH-MU-ZSC-CL02-2621,1S-MH-MU-ZSC-CL02-3096,3.1,,AL,AL,XLPE,,37.8,,37973,40736,SWNO_29720 -> JT.NO.73 | JT.NO.73 -> JT.NO.73A | JT.NO.73A -> SWNO_31688,3,29720,136.4,,29720,
37974,34702,43891,BBLWDI_11kV_43891,DARVESH ROYAL,AMBEDKAR ROAD NO.3,1S-MH-MU-ZST-CL01-1131,1S-MH-MU-ZST-CL02-0032,2,2010-03-20,AL,AL,XLPE,,67.0,,37974,43891,SWNO_37974 -> JT.NO.52 | JT.NO.51C -> JT.NO.51D | JT.NO.51D -> JT.NO.51F | JT.NO.51E -> SWNO_34702 | JT.NO.51F -> JT.NO.51E | JT.NO.52 -> JT.NO.51C,6,34702,596.9,2010-03-20 00:00:00+00:00,34702,2010-03-20 00:00:00+00:00
37986,13497,34663,SHIMP_11kV_34663,VEENA SANTOOR,RAHUL COMPLEX,1S-MH-MU-ZNT-CL07-7010,1S-MH-MU-ZNT-CL07-6567,4,2016-04-30,AL,AL,XLPE,,39.2,,37986,34663,SWNO_37986 -> JT.NO.13 | JT.NO.13 -> SWNO_13497,4,13497,429.79999999999995,2016-04-30 00:00:00+00:00,13497,2016-04-30 00:00:00+00:00
37990,37995,18837,CHDNGR_11kV_18837,ARYAMAN TRANSIT,ARYAMAN TRANSIT CAMP NO. 2,1S-MH-MU-ZET-CL08-9538,1S-MH-MU-ZET-CL08-9669,3,2022-06-07,AL,AL,XLPE,,587.0,,37990,18837,SWNO_37990 -> SWNO_37995,2,37995,1174.0,2022-06-07 00:00:00+00:00,37995,2022-06-07 00:00:00+00:00
37993,42652,18837,CHDNGR_11kV_18837,ARYAMAN TRANSIT CAMP NO. 2,KAMRAJ SANT NAMDEV 1,1S-MH-MU-ZET-CL08-9669,1S-MH-MU-ZET-CL06-9851,4,,AL,AL,XLPE,,,,37993,18837,SWNO_42652 -> SWNO_37993,2,42652,0.0,,42652,
38004,9869,36248,SAHARPLZ_11KV_36248,EMPIRE INDUSTRIAL ESTATE,NEW EMPIRE INDUSTRIES NO.2,1S-MH-MU-ZSC-CL01-2206,1S-MH-MU-ZSC-CL01-2571,5,,AL,AL,PILC,,22.0,,38004,36248,SWNO_38004 -> JT.NO.15 | JT.NO.15 -> JT.NO.15C | JT.NO.15A -> JT.NO.15F | JT.NO.15C -> JT.NO.15C | JT.NO.15C -> JT.NO.15A | JT.NO.15F -> SWNO_09869,6,9869,225.3,,9869,
38019,42921,34308,HINGWALA_11kV_34308,GHATKOPAR JAI AMBE CHS,GHATKOPAR DWARKA,1S-MH-MU-ZET-CL06-9670,1S-MH-MU-ZET-CL06-9850,2.2,2016-05-13,AL,AL,XLPE,,112.2,,38019,34308,GHATKOPAR JAI AMBE CHS TO SUCHITA BUSINESS PARK,2,42921,161.1,2016-05-13 00:00:00+00:00,42921,2016-05-13 00:00:00+00:00
38029,10419,31869,SCRUZ_11kV_31869,NATRAJ MADHUPARK,MADHU PARK,1S-MH-MU-ZST-CL03-1236,1S-MH-MU-ZST-CL03-0344,12,,AL,AL,XLPE,,9.2,,38029,31869,JT.NO.1 -> SWNO_10419 | SWNO_38029 -> JT.NO.1,2,10419,73.8,,10419,
38032,37915,41851,BANDRA_11kV_41851,SHIV ASTHANA,ST. RITTA,1S-MH-MU-ZST-CL02-1239,1S-MH-MU-ZST-CL02-1201,2,2016-01-14,AL,AL,XLPE,,35.2,,38032,41851,JT.NO.42 -> SWNO_37915 | SWNO_38032 -> JT.NO.40 | JT.NO.40 -> JT.NO.41B | JT.NO.41A -> JT.NO.42 | JT.NO.41B -> JT.NO.41A | JT.NO.42 -> JT.NO.42A,7,37915,282.98952938,2016-01-14 00:00:00+00:00,37915,2016-01-14 00:00:00+00:00
