FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL,SUM_DT_LOAD_CAL,FRACTION,feeder_Month_01,feeder_Month_02,feeder_Month_03,feeder_Month_04,feeder_Month_05,feeder_Month_06,feeder_Month_07,feeder_Month_08,feeder_Month_09,feeder_Month_10,feeder_Month_11,feeder_Month_12,node_load_Month_01,node_load_Month_02,node_load_Month_03,node_load_Month_04,node_load_Month_05,node_load_Month_06,node_load_Month_07,node_load_Month_08,node_load_Month_09,node_load_Month_10,node_load_Month_11,node_load_Month_12,sec_cum_Month_01,sec_cum_Month_02,sec_cum_Month_03,sec_cum_Month_04,sec_cum_Month_05,sec_cum_Month_06,sec_cum_Month_07,sec_cum_Month_08,sec_cum_Month_09,sec_cum_Month_10,sec_cum_Month_11,sec_cum_Month_12
10207,7118-15373,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2222,1S-MH-MU-ZSC-CL06-2222,5.1,2025-04-04,149.6213725490196,8.266405714612226,78.62741502627247,0.1051338863404081,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.1,55.566,45.452,37.849,5,5,5,7,7,8,7,7,5,6,5,4,5.0,10.0,15.0,22.0,29.0,37.0,44.0,51.0,56.0,62.0,67.0,71.0
10207,7117-37387,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-3428,1S-MH-MU-ZSC-CL06-3428,5.2,2025-04-04,93.31245283018868,5.155403804808966,78.62741502627247,0.06556750979396112,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.1,55.566,45.452,37.849,3,3,4,5,5,5,5,5,4,4,3,3,3.0,6.0,10.0,15.0,20.0,25.0,30.0,35.0,39.0,43.0,46.0,49.0
10207,32854-18508,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2221,1S-MH-MU-ZSC-CL06-2221,6,2025-04-04,362.4808510638297,20.026642769166195,78.62741502627247,0.25470305443050006,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.1,55.566,45.452,37.849,10,12,12,16,17,18,17,17,12,15,12,10,10.0,22.0,34.0,50.0,67.0,85.0,102.0,119.0,131.0,146.0,158.0,168.0
10209,10209-14433,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2244,1S-MH-MU-ZSC-CL09-2244,1,2025-03-06,431.8323529411765,23.85823207802658,84.45662986328036,0.2824909319333324,73.08,73.942,76.311,74.665,74.857,74.415,77.444,77.444,80.041,82.512,79.121,76.999,21,21,22,22,22,22,22,22,23,24,23,22,76.0,152.0,230.0,307.0,384.0,461.0,542.0,623.0,705.0,791.0,873.0,952.0
10209,14435-7339,1S-MH-MU-ZSC-CL09-2244,1S-MH-MU-ZSC-CL09-2432,1S-MH-MU-ZSC-CL09-2432,2,2025-03-06,297.31549019607843,16.4263328515743,84.45662986328036,0.1944942969920241,73.08,73.942,76.311,74.665,74.857,74.415,77.444,77.444,80.041,82.512,79.121,76.999,15,15,15,15,15,15,16,16,16,17,16,15,55.0,110.0,166.0,221.0,276.0,331.0,390.0,449.0,508.0,570.0,629.0,686.0
10209,7341-32373,1S-MH-MU-ZSC-CL09-2432,1S-MH-MU-ZSC-CL09-3225,1S-MH-MU-ZSC-CL09-3225,3,2025-04-04,237.83647058823527,13.140186633227575,84.45662986328036,0.1555850222119815,73.08,73.942,76.311,74.665,74.857,74.415,77.444,77.444,80.041,82.512,79.121,76.999,12,12,12,12,12,12,13,13,13,13,13,12,40.0,80.0,121.0,161.0,201.0,241.0,284.0,327.0,370.0,415.0,458.0,500.0
10209,32374-32272,1S-MH-MU-ZSC-CL09-3225,1S-MH-MU-ZSC-CL09-3168,1S-MH-MU-ZSC-CL09-3168,4,2025-04-04,281.452081871345,15.549898108363795,84.45662986328036,0.18411696196658806,73.08,73.942,76.311,74.665,74.857,74.415,77.444,77.444,80.041,82.512,79.121,76.999,14,14,15,14,14,14,15,15,15,16,15,15,28.0,56.0,85.0,113.0,141.0,169.0,199.0,229.0,259.0,291.0,321.0,351.0
10209,32274-16164,1S-MH-MU-ZSC-CL09-3168,1S-MH-MU-ZSC-CL09-2806,1S-MH-MU-ZSC-CL09-2806,5,2025-04-04,280.2227722772277,15.4819801920881,84.45662986328036,0.18331278689607386,73.08,73.942,76.311,74.665,74.857,74.415,77.444,77.444,80.041,82.512,79.121,76.999,14,14,14,14,14,14,15,15,15,16,15,15,14.0,28.0,42.0,56.0,70.0,84.0,99.0,114.0,129.0,145.0,160.0,175.0
10210,10210-38517,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL08-3475,1S-MH-MU-ZSC-CL08-3475,1,2025-04-04,216.4774193548387,11.960124051482454,237.3453727967918,0.05039122486589349,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,4,4,5,6,6,6,6,6,5,5,5,4,36.0,74.0,117.0,168.0,221.0,273.0,326.0,379.0,420.0,465.0,507.0,543.0
10210,38516-19899,1S-MH-MU-ZSC-CL08-3475,1S-MH-MU-ZSC-CL09-2926,1S-MH-MU-ZSC-CL09-2926,2,2025-04-04,560.0531335149864,30.94228013352831,237.3453727967918,0.13036816251741376,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,10,11,12,14,15,14,15,15,11,13,12,10,32.0,66.0,104.0,149.0,196.0,242.0,289.0,336.0,372.0,412.0,449.0,481.0
10210,10210-18335,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-2583,1S-MH-MU-ZSC-CL05-2583,2,2025-02-07,145.45333333333332,8.036126426270657,237.3453727967918,0.03385836568699806,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,3,3,4,4,4,4,4,4,3,4,3,3,43.0,90.0,143.0,203.0,268.0,332.0,397.0,462.0,512.0,569.0,619.0,661.0
10210,19902-16613,1S-MH-MU-ZSC-CL09-2926,1S-MH-MU-ZSC-CL09-2607,1S-MH-MU-ZSC-CL09-2607,3,,,,,,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,,,,,,,,,,,,,22.0,45.0,71.0,102.0,134.0,166.0,198.0,230.0,255.0,282.0,307.0,329.0
10210,18333-37506,1S-MH-MU-ZSC-CL05-2583,1S-MH-MU-ZSC-CL05-3379,1S-MH-MU-ZSC-CL05-3379,3,2025-04-04,122.25283018867924,6.754325781686849,237.3453727967918,0.02845779423502689,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,3,3,3,3,4,4,4,4,3,3,3,2,40.0,84.0,133.0,189.0,250.0,310.0,371.0,432.0,479.0,532.0,579.0,618.0
10210,16615-9880,1S-MH-MU-ZSC-CL09-2607,1S-MH-MU-ZSC-CL09-3004,1S-MH-MU-ZSC-CL09-3004,4,2025-04-04,324.4504950495049,17.9255101105779,237.3453727967918,0.07552500349743578,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,6,6,7,8,9,9,9,9,7,8,7,6,22.0,45.0,71.0,102.0,134.0,166.0,198.0,230.0,255.0,282.0,307.0,329.0
10210,37508-15445,1S-MH-MU-ZSC-CL05-3379,1S-MH-MU-ZSC-CL05-2737,1S-MH-MU-ZSC-CL05-2737,4,2025-04-04,240.65051490514904,13.295659288144485,237.3453727967918,0.05601819463119612,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,4,5,5,6,7,6,7,7,5,6,5,4,37.0,78.0,124.0,177.0,234.0,290.0,347.0,404.0,448.0,498.0,542.0,579.0
10210,9882-32413,1S-MH-MU-ZSC-CL09-3004,1S-MH-MU-ZSC-CL09-2765,1S-MH-MU-ZSC-CL09-2765,5,2025-04-04,269.6736,14.899150770654115,237.3453727967918,0.06277413625169063,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,5,5,6,7,7,7,7,7,6,6,6,5,16.0,33.0,52.0,75.0,98.0,121.0,144.0,167.0,185.0,204.0,222.0,238.0
10210,15444-15393,1S-MH-MU-ZSC-CL05-2737,1S-MH-MU-ZSC-CL05-2288,1S-MH-MU-ZSC-CL05-2288,5,2025-03-06,212.0994871794872,11.71824842278072,237.3453727967918,0.049372137677247005,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,4,4,5,6,6,6,6,6,5,5,5,4,33.0,69.0,110.0,157.0,207.0,257.0,307.0,357.0,396.0,440.0,479.0,512.0
10210,15391-9312,1S-MH-MU-ZSC-CL05-2288,1S-MH-MU-ZSC-CL05-2080,1S-MH-MU-ZSC-CL05-2080,5.2,2025-04-04,646.4742574257426,35.71694608123598,237.3453727967918,0.150485116521803,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,11,12,14,16,17,17,17,17,13,15,13,11,11.0,23.0,37.0,53.0,70.0,87.0,104.0,121.0,134.0,149.0,162.0,173.0
10210,32415-7439,1S-MH-MU-ZSC-CL09-2765,1S-MH-MU-ZSC-CL09-2040,1S-MH-MU-ZSC-CL09-2040,6,2025-04-04,84.56870886075949,4.672322184285032,237.3453727967918,0.0196857521561431,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,2,2,2,3,3,3,3,3,2,2,2,2,11.0,23.0,36.0,52.0,68.0,84.0,100.0,116.0,128.0,141.0,153.0,164.0
10210,15391-32151,1S-MH-MU-ZSC-CL05-2288,1S-MH-MU-ZSC-CL05-3219,1S-MH-MU-ZSC-CL05-3219,6,2025-04-04,289.5607843137255,15.997894427778814,237.3453727967918,0.0674034392971956,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,5,6,6,7,8,8,8,8,6,7,6,5,18.0,38.0,60.0,85.0,112.0,139.0,166.0,193.0,214.0,238.0,259.0,277.0
10210,7442-15923,1S-MH-MU-ZSC-CL09-2040,1S-MH-MU-ZSC-CL09-2840,1S-MH-MU-ZSC-CL09-2840,6.1,2025-03-06,132.5070588235294,7.320859912085195,237.3453727967918,0.030844755159196227,71.059,76.809,88.788,101.753,109.37,106.442,110.202,110.202,84.321,93.476,84.835,69.638,3,3,3,4,4,4,4,4,3,3,3,3,3.0,6.0,9.0,13.0,17.0,21.0,25.0,29.0,32.0,35.0,38.0,41.0
