DESTINATION_LOCATION,FEEDER_ID,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
1S-MH-MU-ZST-CL07-0841,35367,10.994,5.768,6.547,19.878,18.423,5.424,0.0,5.069,33.15,17.155,16.404,10.56,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0144,35367,2.843,1.508,1.719,5.325,4.632,1.298,0.0,1.293,8.693,4.568,4.088,2.636,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0543,35367,0.664,0.351,0.373,1.256,1.074,0.297,0.0,0.31,1.991,1.296,0.978,0.589,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0804,35367,1.758,0.93,1.095,3.25,2.801,0.779,0.0,0.758,5.335,2.59,2.475,1.636,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL06-0185,35367,1.583,0.832,0.977,2.935,2.529,0.703,0.0,0.691,4.915,2.323,2.223,1.475,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0280,35367,10.687,5.62,6.378,19.297,17.9,5.273,0.0,4.923,32.183,16.69,15.971,10.324,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-1328,35367,10.253,5.325,6.105,18.542,17.161,5.047,0.0,4.704,30.854,16.091,15.381,9.933,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-1039,35367,9.993,5.19,5.957,18.117,16.736,4.915,0.0,4.58,30.127,15.749,15.035,9.695,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0279,35367,9.825,5.098,5.841,17.822,16.437,4.821,0.0,4.493,29.659,15.507,14.442,9.254,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-1375,35367,2.874,1.486,1.677,5.302,5.003,1.492,0.0,1.349,9.182,4.942,4.751,3.124,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0281,35367,2.874,1.486,1.677,5.302,5.003,1.492,0.0,1.349,9.182,4.942,4.751,3.124,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0355,35367,2.386,1.249,1.402,4.422,4.143,1.229,0.0,1.082,7.503,4.19,4.07,2.652,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0274,35367,0.383,0.246,0.251,0.702,0.73,0.232,0.0,0.226,2.027,1.042,1.267,0.83,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0542,35367,1.303,0.631,0.721,2.344,2.133,0.619,0.0,0.482,3.225,1.719,1.715,1.1,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0607,35367,0.424,0.204,0.247,0.94,0.801,0.221,0.0,0.176,1.138,0.642,0.65,0.402,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0272,35367,6.038,3.161,3.572,10.855,9.767,2.812,0.0,2.656,17.405,9.143,8.404,5.543,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-1245,35367,5.624,2.935,3.29,10.054,9.025,2.594,0.0,2.445,16.029,8.397,7.728,5.085,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0558,35367,5.267,2.764,3.093,9.405,8.433,2.421,0.0,2.284,15.054,7.906,7.288,4.765,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0356,35367,4.505,2.344,2.682,8.142,7.261,2.076,0.0,1.973,13.077,6.841,6.297,4.174,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-1112,35367,0.954,0.475,0.532,1.607,1.537,0.463,0.0,0.386,2.465,1.218,1.221,0.891,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-0783,35367,0.516,0.224,0.259,0.795,0.843,0.271,0.0,0.206,1.253,0.611,0.617,0.405,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZST-CL07-1212,35369,9.552,2.261,10.056,17.265,20.955,13.664,0.0,4.763,25.066,11.564,13.577,3.527,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0535,35369,1.896,0.428,1.846,3.257,4.148,2.795,0.0,0.926,4.722,2.103,2.387,0.644,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-1291,35369,1.5,0.339,1.45,2.557,3.345,2.293,0.0,0.755,3.805,1.689,1.935,0.521,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0040,35369,1.167,0.263,1.131,1.982,2.571,1.753,0.0,0.58,2.957,1.302,1.474,0.394,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0272,35369,9.055,2.149,9.611,16.307,19.783,12.896,0.0,4.499,23.702,10.95,12.628,3.318,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0358,35369,8.49,2.004,8.9,15.178,18.439,12.032,0.0,4.189,22.01,10.083,11.666,3.062,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0827,35369,7.896,1.853,8.228,13.994,17.115,11.221,0.0,3.869,20.516,9.371,10.781,2.866,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0766,35369,6.968,1.606,6.957,12.068,15.053,10.004,0.0,3.439,18.16,8.197,9.459,2.553,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-1273,35369,5.94,1.426,6.199,10.567,13.134,8.707,0.0,3.009,15.886,7.186,8.27,2.237,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0146,35369,5.6,1.337,5.798,9.895,12.382,8.247,0.0,2.854,15.009,6.782,7.731,2.111,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0583,35369,1.078,0.265,0.949,1.635,1.994,1.305,0.0,0.471,2.632,1.146,1.291,0.337,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0028,35369,3.116,0.721,3.174,5.447,6.955,4.695,0.0,1.606,8.143,3.734,4.217,1.143,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-1157,35369,2.433,0.559,2.485,4.212,5.409,3.664,0.0,1.219,6.224,2.84,3.195,0.863,1,0,1,2,1,1,0,1,0,1,2,0
1S-MH-MU-ZST-CL07-0930,35370,1.642,0.694,0.264,1.065,6.212,11.837,0.0,0.575,13.025,11.917,11.208,7.47,2,1,0,1,2,1,0,1,0,6,5,4
1S-MH-MU-ZST-CL07-0202,35370,1.118,0.477,0.179,0.738,3.963,7.163,0.0,0.368,8.703,7.73,7.355,5.303,2,1,0,1,2,1,0,1,0,6,5,4
